Journal title,ISSN,eISSN,Publisher details
Australian Journal of Political Science,1036-1146,Taylor & Francis Ltd.,United Kingdom
Australian Journal of Politics and History,0004-9522,Blackwell Publishing Ltd.,United Kingdom
Australian Journal of Public Administration,0313-6647,Blackwell Publishing Ltd.,United Kingdom
Azania,0067-270X,Taylor & Francis Ltd.,United Kingdom
"B.E. Journal of Economic Analysis & Policy, The",2194-6108,Berkeley Electronic Press,United States
"B.E. Journal of Macroeconomics, The",2194-6116,Berkeley Electronic Press,United States
"B.E. Journal of Theoretical Economics, The",2194-6124,Walter de Gruyter GmbH,Germany
Baltic Journal of Economics,1406-099X,Taylor & Francis Ltd.,United Kingdom
Baltic Journal of Law & Politics,2029-0454,De Gruyter Poland,Poland
Baltic Journal of Management,1746-5265,Emerald Group Publishing Limited,United Kingdom
Banca Impresa Società,1120-9453,Societa Editrice il Mulino,Italy
Bancaria,0005-4623,Bancaria Editrice S p A,Italy
BC Studies,0005-2949,Pacific Affairs. The University of British Columbia,Canada
Berliner Journal für Soziologie,0863-1808,Springer Nature B.V.,Netherlands
Bilig,1301-0549,"Ahmet Yesesvi Universitesi, Management Center",Turkey
Bingöl Üniversitesi İktisadi ve İdari Bilimler Fakültesi,2651-3234,Bingol University,Turkey
Bioethics,0269-9702,Blackwell Publishing Ltd.,United Kingdom
Biography,0162-4962,University of Hawaii Press,United States
BioSocieties,1745-8552,Palgrave Macmillan,United Kingdom
Bohemia,0523-8587,Collegium Carolinum e. V.,Germany
Boletim do Museu Paraense Emílio Goeldi. Ciencias Humanas,1981-8122,Museu Paraense Emilio Goeldi,Brazil
Boletín de Antropología,0120-2510,Universidad de Antioquía,Colombia
Boletín ICE Económico,0214-8307,Comercio del Ministerio de Economía y Competividad de España,Spain
Bordón,0210-5934,Fundação Getulio Vargas,Brazil
Brazilian Administration Review,1807-7692,Associação Nacional de Pós-Graduação e Pesquisa em Administração,Brazil
Brazilian Political Science Review,1981-3821,Associacao Brasileira de Ciencia Politica,Brazil
British Educational Research Journal,0141-1926,Blackwell Publishing Ltd.,United Kingdom
British Journal for the History of Science,0007-0874,Cambridge University Press,United Kingdom
British Journal of Canadian Studies,0269-9222,Liverpool University Press,United Kingdom
"British Journal of Clinical Psychology, The",0144-6657,"Wiley Subscription Services, Inc.",United States
"British Journal of Developmental Psychology, The",0261-510X,"Wiley Subscription Services, Inc.",United States
British Journal of Educational Studies,0007-1005,Taylor & Francis Ltd.,United Kingdom
British Journal of Industrial Relations,0007-1080,Blackwell Publishing Ltd.,United Kingdom
British Journal of Management,1045-3172,Blackwell Publishing Ltd.,United Kingdom
British Journal of Middle Eastern Studies,1353-0194,Taylor & Francis Ltd.,United Kingdom
British Journal of Political Science,0007-1234,Cambridge University Press,United Kingdom
British Journal of Psychology,0007-1269,British Psychological Society,United Kingdom
"British Journal of Social Psychology, The",0144-6665,"Wiley Subscription Services, Inc.",United States
British Journal of Social Work,0045-3102,Oxford Publishing Limited (England),United Kingdom
British Journal of Sociology of Education,0142-5692,Taylor & Francis Ltd.,United Kingdom
"British Journal of Sociology, The",0007-1315,"Wiley Subscription Services, Inc.",United States
Built Heritage,2096-3041,Springer Nature B.V.,Netherlands
Bulletin de l'Institut Français d'Études Andines,0303-7495,Institut Français d'Études Andines,Peru
Bulletin of Economic Research,0307-3378,Blackwell Publishing Ltd.,United Kingdom
Bulletin of Indonesian Economic Studies,0007-4918,Taylor & Francis LLC,United Kingdom
Bulletin of Latin American Research,0261-3050,"Wiley Subscription Services, Inc.",United States
Bulletin of the American Society of Overseas Research,2769-3600,American Schools of Oriental Research,United States
Bulletin of the School of Oriental and African Studies. University of London,0041-977X,Cambridge University Press,United Kingdom
Bullettino della Commissione Archeologica Comunale di Roma,0392-7636,L'Erma di Bretschneider,Italy
"Bullettino dell'Istituto di Diritto Romano ""Vittorio Scialoja"". Nuova Serie",0391-1810,L'Erma di Bretschneider,Italy
Business and Human Rights Journal,2057-0201,Cambridge University Press,United Kingdom
Business and Politics,1469-3569,Cambridge University Press,United Kingdom
Business Ethics Quarterly,1052-150X,Cambridge University Press,United Kingdom
"Business Ethics, the Environment & Responsibility",2694-6416,Blackwell Publishing Ltd.,United Kingdom
Business History,0007-6791,Taylor & Francis Ltd.,United Kingdom
Business History Review,0007-6805,Cambridge University Press,United Kingdom
Business Law International,1467-632X,International Bar Association,United Kingdom
"Business Lawyer, The",0007-6899,American Bar Association,United States
Business Strategy and the Environment,0964-4733,Wiley Periodicals Inc.,United States
Caderno CRH,0103-4979,"Universidade Federal da Bahia, Centro de Recursos Humanos",Brazil
Cahiers de Linguistique. Asie Orientale,0153-3320,Ecole des Hautes Etudes en Sciences Sociales,France
Cahiers du Monde Russe,1252-6576,Editions de l'Ecole des Hautes Etudes en Sciences Sociales,France
Cahiers Québécois de Démographie,0380-1721,Association des Demographes du Quebec,Canada
California History,0162-2897,"University of California Press, Journals & Digital Publishing Division",United States
California Management Review,0008-1256,"University of California, California Management Review",United States
Cambridge Anthropology,0305-7674,"Berghahn Books, Inc.",United States
"Cambridge Law Journal, The",0008-1973,Cambridge University Press,United Kingdom
Cambridge Review of International Affairs,0955-7571,Taylor & Francis Ltd.,United Kingdom
Campbell Systematic Reviews,1891-1803,"John Wiley & Sons, Inc.",United States
Campos en Ciencias Sociales,2339-3688,Universidad Santo Tomás de Colombia,Colombia
Canadian Ethnic Studies,0008-3496,Canadian Ethnic Studies Journal,Canada
Canadian Geographer,0008-3658,Blackwell Publishing Ltd.,United Kingdom
Canadian Journal of Agricultural Economics,0008-3976,Agricultural Institute of Canada,Canada
Canadian Journal of Development Studies,0225-5189,Canadian Association for the Study of International Development,Canada
"Canadian Journal of Economics, The",0008-4085,Blackwell Publishing Ltd.,United Kingdom
Canadian Journal of Latin American & Caribbean Studies,0826-3663,Taylor & Francis Ltd.,United Kingdom
Canadian Journal of Law and Society,0829-3201,Cambridge University Press,United Kingdom
Canadian Journal of Linguistics,0008-4131,Cambridge University Press,United Kingdom
Canadian Journal of Philosophy,0045-5091,Cambridge University Press,United Kingdom
Canadian Journal of Political Science,0008-4239,Cambridge University Press,United Kingdom
"Canadian Journal of Statistics, The",0319-5724,"Wiley Subscription Services, Inc.",United States
Canadian Journal on Aging,0714-9808,Cambridge University Press,United Kingdom
Canadian Public Administration,0008-4840,"Wiley Subscription Services, Inc.",United States
