Journal Title,eISSN,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Duration
Irish Journal of Psychological Medicine,2051-6967,Hybrid,Y,,Psychology & Psychiatry,CUP,2025-2027
Italian Political Science Review / Rivista Italiana di Scienza Politica,2057-4908,Hybrid,Y,,Politics & International Relations,CUP,2025-2027
International Review of the Red Cross,1607-5889,Gold OA,Y,,Law,CUP,2025-2027
Iranian Studies,1475-4819,Hybrid,Y,,Area Studies,CUP,2025-2027
IRAQ,2053-4744,Gold OA,Y,,Classics,CUP,2025-2027
International Review of Social History,1469-512X,Research Open,Y,,History,CUP,2025-2027
Israel Law Review,2047-9336,Gold OA,Y,,Law,CUP,2025-2027
Itinerario,2041-2827,Gold OA,Y,,History,CUP,2025-2027
Journal of African Law,1464-3731,Hybrid,Y,,Law,CUP,2025-2027
Journal of the Australian Mathematical Society,1446-8107,Hybrid,Y,,Mathematics,CUP,2025-2027
Journal of British Studies,1545-6986,Research Open,Y,,History,CUP,2025-2027
Journal of Biosocial Science,1469-7599,Gold OA,Y,,Biology,CUP,2025-2027
Journal of Chinese History,2059-1640,Research Open,Y,,History,CUP,2025-2027
Journal of Child Language,1469-7602,Gold OA,Y,,Language & Linguistics,CUP,2025-2027
International Journal of Cultural Property,1465-7317,Hybrid,Y,,Law,CUP,2025-2027
Journal of Classics Teaching,2058-6310,Gold OA (No APC),N,Free to publish,Classics,CUP,2025-2027
Judgment and Decision Making,1930-2975,Gold OA,Y,,Psychology & Psychiatry,CUP,2025-2027
Journal of East Asian Studies,2234-6643,Gold OA,Y,,Area Studies,CUP,2025-2027
The Journal of Economic History,1471-6372,Hybrid,Y,,History,CUP,2025-2027
Journal of French Language Studies,1474-0079,Research Open,Y,,Language & Linguistics,CUP,2025-2027
Journal of Functional Programming,1469-7653,Gold OA,Y,,Computer Science,CUP,2025-2027
Journal of Financial and Quantitative Analysis,1756-6916,Hybrid,Y,,Economics,CUP,2025-2027
The Journal of the Gilded Age and Progressive Era,1943-3557,Hybrid,Y,,History,CUP,2025-2027
Journal of Global History,1740-0236,Gold OA,Y,,History,CUP,2025-2027
Journal of Germanic Linguistics,1475-3014,Hybrid,Y,,Language & Linguistics,CUP,2025-2027
Journal of Helminthology,1475-2697,Hybrid,Y,,Biology,CUP,2025-2027
The Journal of Hellenic Studies,2041-4099,Hybrid,Y,,Classics,CUP,2025-2027
