Journal Title,eISSN,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Duration
Social Forces,1534-7605,Hybrid,yes,,Social Sciences,OUP,2025-2027
Social History Of Medicine,1477-4666,Hybrid,yes,,"Humanities, Medicine",OUP,2025-2027
Social Politics,1468-2893,Hybrid,yes,,Social Sciences,OUP,2025-2027
Social Problems,1533-8533,Hybrid,yes,,Social Sciences,OUP,2025-2027
Social Science Japan Journal,1468-2680,Hybrid,yes,,Social Sciences,OUP,2025-2027
Social Work,1545-6846,No OA,No,Subscription,"Medicine, Social Sciences",OUP,2025-2027
Social Work Research,1545-6838,No OA,No,Subscription,"Medicine, Social Sciences",OUP,2025-2027
Socio-Economic Review,1475-147X,Hybrid,yes,,Social Sciences,OUP,2025-2027
Statute Law Review,1464-3863,Hybrid,yes,,Law,OUP,2025-2027
Stem Cells,1549-4918,Hybrid,yes,,Medicine,OUP,2025-2027
Systematic Biology,1076-836X,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
The American Journal of Jurisprudence,2049-6494,Hybrid,yes,,Law,OUP,2025-2027
The British Journal Of Social Work,1468-263X,Hybrid,yes,,"Medicine, Social Sciences",OUP,2025-2027
The British Yearbook of International Law,2044-9437,Hybrid,yes,,Law,OUP,2025-2027
The Cambridge Quarterly,1471-6836,Hybrid,yes,,Humanities,OUP,2025-2027
The Chinese Journal of Comparative Law,2050-4810,Hybrid,yes,,Law,OUP,2025-2027
The Chinese Journal Of International Politics,1750-8924,Hybrid,yes,,Social Sciences,OUP,2025-2027
The Computer Journal,1460-2067,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
The Econometrics Journal,1368-423X,Hybrid,yes,,Social Sciences,OUP,2025-2027
The Economic Journal,1468-0297,Hybrid,yes,,Social Sciences,OUP,2025-2027
The English Historical Review,1477-4534,Hybrid,yes,,Humanities,OUP,2025-2027
The Gerontologist,1758-5341,Hybrid,yes,,"Medicine, Science & Mathematics",OUP,2025-2027
The Journal of Applied Laboratory Medicine,2475-7241,Hybrid,yes,,Medicine,OUP,2025-2027
The Journal Of Biochemistry,1756-2651,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
The Journal of Clinical Endocrinology & Metabolism,1945-7197,Hybrid,yes,,"Medicine, Science & Mathematics",OUP,2025-2027
The Journal of Infectious Diseases,1537-6613,Hybrid,yes,,Medicine,OUP,2025-2027
"The Journal Of Law, Economics, And Organization",1465-7341,Hybrid,yes,,"Law, Social Sciences",OUP,2025-2027
The Library,1744-8581,Hybrid,yes,,Humanities,OUP,2025-2027
